courseId,categories
72,AWS|Security
2,AWS|Cloud|Serverless|Operations
0,AWS|Cloud|Serverless
49,GCP|ML|AI
1,AWS|Cloud|Python|Programming
4,AWS|Cloud|Business
6,AWS|Certification|Development|Cloud
7,AWS|Certification|Network
27,AWS|Certification|Network
8,AI|ML|Certification|AWS|Python
9,AWS|Certification|Database|Analytics
10,AWS|Certification|Cloud
5,AWS|Certification|Development|Cloud
11,AWS|Certification|DevOps|Operations|Development
12,AWS|Certification|ML|AI
13,AWS|Certification|Security
18,AWS|Certification|Archirecture
17,AWS|Certification|Archirecture
19,AWS|Certification|SysOps
15,AWS|Cloud|Operations
16,AWS|Cloud|Operations
20,AWS|Database
21,AWS|Containers|Docker
23,AWS|Cloud
26,AWS|Cloud|Serverless
65,AWS|Serverless|Cloud|Development
31,AWS|Security
40,Azure|Certification
36,Azure|Certification
37,Azure|Certification
38,Azure|Certification
39,Azure|Certification
44,
45,Cloud|Programming|Development
71,AWS|Serverless|Programming|Development
46,DevOps|Docker
47,Docker
35,AWS
41,Azure|Serverless
22,AWS|Serverless|Database
50,GCP|Certification|Cloud
51,GCP|Certification|Architecture
52,GCP|Certification|Network
53,GCP|Certification|Database|Analytics
54,GCP|Containers|Kubernetes
29,AWS|Storage|Database
56,AWS|AI
28,AWS|Database|Storage
57,
24,AWS|Cloud
3,AWS|Cloud|Serverless|Operations
14,AWS|Cloud|Operations
60,Azure
42,Azure|Database
61,Azure|DevOps
58,Cloud
48,GCP|Cloud
62,ML|AI|Python
59,ML|AI
43,Azure|Serverless
63,Container|Kubernetes
64,Container|Kubernetes
67,Linux|Certification
66,Linux|SysAdmin|Certification
34,AWS|Architecture
68,AWS|Security
55,Azure
69,Python|Programming|Development
25,AWS|Security
70,Linux|SysAdmin|Certification
30,AWS|Cloud|Storage|Serverless
32,Cloud|Serverless
33,Serverless|Database
73,Serverless  
74,Business